genes	enzymes	shortNames	MWs	actions	k_scores	OE	minUsage	maxUsage	pUsage
YOR278W	P06174	HEM4	30.91124	2	1000	2	1.62992710971258e-08	1.62992710971584e-08	1.62992710971258e-08
YOR323C	P54885	PRO2	49.73991	2	1000	2	1.41143313106902e-08	1.4167311021855e-08	1.41331587778013e-08
YPL172C	P21592	COX10	52.14718	2	1000	2	4.39585769312282e-06	4.39585769313161e-06	4.39585769312282e-06
YPL252C	Q12184	YAH1	18.93229	1	1000	2	0	4.71664473404235e-09	0
YMR058W	P38993	FET3	72.35915	1	1000	2	0	1.2170166713903e-09	0
YJR069C	P47119	HAM1	22.09268	1	1000	2	0	4.47536964717726e-09	8.1582570468e-11
YER141W	P40086	COX15	54.65792	2	1000	2	5.61953457315477e-07	5.66670054388727e-07	5.66670054387593e-07
YDR452W	Q04119	PPN1	78.34335	1	1000	2	0	1.23835974483083e-09	5.38030674133705e-13
YNL065W		AQR1	NaN	1	1000	2	0	0	0
YJL133W		MRS3	NaN	1	1000	2	0	0	0
YKR052C		MRS4	NaN	1	1000	2	0	0	0
YPL262W	P08417	FUM1	53.15125	2	342.192973616357	2	2.08479131376547e-07	2.12673286093256e-07	2.08550678080152e-07
YBR117C	P33315	TKL2	75.02862	1	59.7789500503645	2	0	7.93255045241277e-08	0
YPR074C	P23254	TKL1	73.80488	2	49.8963069879756	2	1.24209496833383e-06	1.32555669346377e-06	1.32120078671018e-06
YJR095W		SFC1	NaN	1	31.3254762349693	2	0	0	0
YJL121C	P46969	RPE1	25.96689	2	10.3657015458268	2	7.99560865141172e-07	8.0706968163881e-07	8.03196151137749e-07
YLR450W	P12684	HMG2	115.69085	2	9.27079032129127	2	0	9.67125181275817e-07	9.67112533757143e-07
YML075C	P12683	HMG1	115.62448	1	9.27079032129127	2	0	9.67679061452461e-07	0
YML126C	P54839	ERG13	55.01283	2	9.27079032129127	2	0.000107841299063405	0.000107842731505143	0.000107841299063405
YPL028W	P41338	ERG10	41.72825	2	9.27079032129127	2	4.97252709244115e-08	5.20531463680092e-08	4.97268033330287e-08
YJL167W	P08524	ERG20	40.48289	2	9.27079032129127	2	2.71243944308142e-05	2.71246009104963e-05	2.71243944308142e-05
YMR208W	P07277	ERG12	48.45901	2	9.27079032129127	2	2.04359374506265e-06	2.04360896676206e-06	2.04359374506265e-06
YMR220W	P24521	ERG8	50.45437	2	9.27079032129127	2	1.31630057850736e-05	1.31631038411767e-05	1.31630057850736e-05
YNR043W	P32377	MVD1	44.11544	2	9.27079032129127	2	9.13349777781902e-06	9.13356724928964e-06	9.13349777781902e-06
YPL117C	P15496	IDI1	33.35113	1	9.27079032129127	2	4.98932897361006e-10	3.37986052713428e-09	4.98932897361006e-10
YHR002W		LEU5	NaN	1	9.27079032129126	2	0	0	0
YHR137W	P38840	ARO9	58.52706	2	6.14346517053967	2	8.51118557960579e-08	8.74510768827339e-08	8.58477951123872e-08
YHR163W	P38858	SOL3	27.78417	2	5.4699784033524	2	1.38416658997672e-05	1.40307079682819e-05	1.39857349514209e-05
YHR183W	P38720	GND1	53.54274	2	5.4699784033524	2	3.58720739994712e-06	3.85457121591821e-06	3.84222547104826e-06
YGR248W	P53315	SOL4	28.44737	1	5.4699784033524	2	0	1.46372297316322e-07	0
YGR256W	P53319	GND2	53.92235	1	5.4699784033524	2	0	2.556508288914e-07	0
YNL241C	P11412	ZWF1	57.5209	2	5.4699784033524	2	2.2004532341193e-07	2.21719191811155e-07	2.21013682469049e-07
YBR221C	P32473	PDB1	40.0532	2	3.57854375710931	2	3.5068065875731e-06	3.52207965196347e-06	3.51970628059138e-06
YER178W	P16387	PDA1	46.34261	2	3.57854375710931	2	3.5068065875731e-06	3.52207965196347e-06	3.51970628059138e-06
YGR193C	P16451	PDX1	45.36125	2	3.57854375710931	2	3.5068065875731e-06	3.52207965196347e-06	3.51970628059138e-06
YNL071W	P12695	LAT1	51.81762	2	3.57854375710931	2	3.5068065875731e-06	3.52207965196347e-06	3.51970628059138e-06
YCR053W	P16120	THR4	57.47349	2	2.95756078717109	2	4.78812765144016e-09	5.04932425049087e-09	4.82831974664777e-09
YHR025W	P17423	THR1	38.71215	2	2.95756078717109	2	4.78702635880074e-07	5.04877463270989e-07	4.82831974664777e-07
YDR158W	P13663	HOM2	39.54334	2	2.9575545845458	2	1.0291496269912e-07	1.08523971466449e-07	1.037887369403e-07
YJR139C	P31116	HOM6	38.50163	2	2.9575545845458	2	8.64974275734604e-07	9.12368858929652e-07	8.72435286531989e-07
YER052C	P10869	HOM3	58.10913	2	2.9575545845458	2	8.60519575390811e-08	9.07419090421226e-08	8.67825605697606e-08
YOR095C	Q12189	RKI1	28.25777	2	2.87513311874773	2	5.04949688021352e-06	5.08665820501704e-06	5.07100440179666e-06
YGR087C	P26263	PDC6	61.57964	1	2.84049795173435	2	0	2.74169250395593e-09	0
YLR044C	P06169	PDC1	61.49468	2	2.84049795173435	2	4.17732344291705e-07	4.20365804154714e-07	4.18957301574147e-07
YLR134W	P16467	PDC5	61.91138	1	2.84049795173435	2	0	2.71615163328707e-09	0
YNR001C	P00890	CIT1	53.35945	2	2.8212790235958	2	5.44149470881406e-07	7.60745857971023e-07	7.59566594563016e-07
YPR001W	P43635	CIT3	53.81073	1	2.8212790235958	2	0	2.15098842336219e-07	0
YGL080W		MPC1	NaN	1	2.48945478627573	2	0	0	0
YGR243W		MPC3	NaN	1	2.48945478627573	2	0	0	0
YHR162W		MPC2	NaN	1	2.48945478627573	2	0	0	0
YBR218C	P32327	PYC2	130.16549	1	2.41452651673583	2	0	1.42756040660383e-06	0
YGL062W	P11154	PYC1	130.09827	2	2.41452651673583	2	1.02678291696113e-06	2.46860845438791e-06	2.45357558610413e-06
YAL038W	P00549	CDC19	54.54404	2	2.37006006899528	2	1.86466019251401e-06	2.01473478267132e-06	2.01385448234702e-06
YOR347C	P52489	PYK2	55.19478	1	2.37006006899528	2	0	1.49161197929719e-07	0
YGR254W	P00924	ENO1	46.81564	2	2.20621742069886	2	1.85327443512159e-06	2.05126258314972e-06	2.04924194387742e-06
YHR174W	P00925	ENO2	46.91368	1	2.20621741432231	2	0	2.96223212061627e-09	0
YKL152C	P00950	GPM1	27.60828	1	2.20621741432231	2	0	1.0209602513755e-08	0
YMR323W	P42222	ERR3	47.31216	1	2.20621741432231	2	0	1.95929261545976e-07	0
YOR393W	P0CX10	ERR1	47.32712	1	2.20621741432231	2	0	1.90208834525124e-07	0
YPL281C	P0CX11	ERR2	47.32712	1	2.20621741432231	2	0	1.90208834896542e-07	0
YOR283W	Q12040	YOR283W	26.17622	2	2.20621741432231	2	5.58777566447018e-07	5.69521557229829e-07	5.65822419766673e-07
YNL036W	P53615	NCE103	24.85889	1	1.66764758585122	2	0	3.90186461984804e-09	1.65645329054173e-10
YCR012W	P00560	PGK1	44.73787	2	1.17090542128066	2	8.87153325417595e-07	8.89581318848716e-07	8.87427605774845e-07
YGR192C	P00359	TDH3	35.74626	1	1.17090542128066	2	0	3.95749228301313e-09	0
YJL052W	P00360	TDH1	35.74956	2	1.17090542128066	2	1.64182250450854e-05	1.64305421598842e-05	1.64234032479057e-05
YJR009C	P00358	TDH2	35.84645	1	1.17090542128066	2	0	6.36129445968657e-09	0
YDR050C	P00942	TPI1	26.79508	2	1.06805095477737	2	2.48783370861221e-08	2.85041606298526e-08	2.48823465092817e-08
YGR240C	P16861	PFK1	107.96906	1	1.06130883621665	2	0	3.96651043375143e-09	0
YKL060C	P14540	FBA1	39.62024	1	1.06130883621665	2	0	4.11816822443912e-09	0
YMR205C	P16862	PFK2	104.61673	2	1.06130883621665	2	6.01685723544965e-07	6.0541098472504e-07	6.04844098631194e-07
YLR058C	P37291	SHM2	52.21793	0	0.00484542796542818	0	1.95798784673899e-07	1.98126504577511e-07	1.96284987579757e-07
YGR204W	P07245	ADE3	102.20412	0	0.00195198840118867	0	4.02400062436006e-09	5.23901035197848e-09	4.04177671112754e-09
YAL044C	P39726	GCV3	18.79276	0	0	0	0	1.69082830296275e-11	0
YBR263W	P37292	SHM1	53.68589	0	0	0	0	1.79116211900829e-09	0
YCL040W	P17709	GLK1	55.37689	0	0	0	0	2.12451235058264e-09	0
YDR019C	P48015	GCV1	44.46849	0	0	0	0	1.69082830296275e-11	0
YDR148C	P19262	KGD2	50.43011	0	0	0	0	6.00071288347606e-10	0
YER070W	P21524	RNR1	99.56021	0	0	0	0	9.72669444363521e-10	0
YFR053C	P04806	HXK1	53.73784	0	0	0	0	2.20462337250523e-09	0
YGL253W	P04807	HXK2	53.9419	0	0	0	0	1.97166980451564e-09	0
YGR180C	P49723	RNR4	40.05407	0	0	0	0	2.4576798954503e-09	0
YIL066C	P21672	RNR3	97.51369	0	0	0	0	9.93307328116056e-10	0
YIL125W	P20967	KGD1	114.41496	0	0	0	0	6.00071288347606e-10	0
YJL026W	P09938	RNR2	46.14681	0	0	0	0	2.1255555425258e-09	0
YKL029C	P36013	MAE1	74.37529	0	0	0	0	7.98438737941375e-09	0
YKL085W	P17505	MDH1	35.64959	0	0	0	0	1.1903670697115e-07	0
YLR438W	P07991	CAR2	46.08557	0	0	0	0	1.8103174104758e-11	0
YMR189W	P49095	GCV2	114.45033	0	0	0	0	1.69082830296275e-11	0
YMR241W		YHM2	NaN	0	0	0	0	0	0
YMR246W	P47912	FAA4	77.26612	0	0	0	0	1.32143259428869e-09	0
YOR317W	P30624	FAA1	77.86529	0	0	0	0	1.29837746649174e-09	0
YOR388C	Q08911	FDH1	41.7138	0	0	0	0	9.04037900036423e-10	0
YLR446W	Q06204	YLR446W	48.96875	0	0	0	0	1.95949317924597e-09	0
