genes	enzymes	shortNames	MWs	actions	k_scores	OE	minUsage	maxUsage	pUsage	foldChange
YLR044C	P06169	PDC1	61.49468	2	2.84049795173435	2	4.16562532806357e-07	4.21853248784266e-07	4.1896759601016e-07	1.00013356870187
YLR134W	P16467	PDC5	61.91138	1	2.84049795173435	2	0	5.44160185096399e-09	0	1.000001
YNR001C	P00890	CIT1	53.35945	2	2.8212790235958	2	3.29052354907174e-07	7.62277421264937e-07	7.59588820000307e-07	1.00020970572294
YPR001W	P43635	CIT3	53.81073	1	2.8212790235958	2	0	4.30194875700422e-07	0	1.000001
YBR218C	P32327	PYC2	130.16549	1	2.41452651673583	2	0	2.45830916047625e-06	0	1.000001
YGL062W	P11154	PYC1	130.09827	2	2.41452651673583	2	0	2.48293262911386e-06	2.45351939758926e-06	1.001743778168
YAL038W	P00549	CDC19	54.54404	2	2.37006006899528	2	1.71550345520448e-06	2.0156628657921e-06	2.01385936105117e-06	1.00056673860812
YOR347C	P52489	PYK2	55.19478	1	2.37006006899528	2	0	2.9831508640745e-07	0	1.000001
YGR254W	P00924	ENO1	46.81564	2	2.20621742069886	2	1.65733131977538e-06	2.05335641359781e-06	2.04924686508126e-06	1.00049511419859
YHR174W	P00925	ENO2	46.91368	1	2.20621741432231	2	0	5.97822279764208e-09	0	1.000001
YKL152C	P00950	GPM1	27.60828	1	2.20621741432231	2	0	2.04194385132947e-08	0	1.000001
YMR323W	P42222	ERR3	47.31216	1	2.20621741432231	2	0	3.91863004910619e-07	0	1.000001
YOR393W	P0CX10	ERR1	47.32712	1	2.20621741432231	2	0	3.80422019937956e-07	0	1.000001
YPL281C	P0CX11	ERR2	47.32712	1	2.20621741432231	2	0	3.80422019937956e-07	0	1.000001
YOR283W	Q12040	YOR283W	26.17622	2	2.20621741432231	2	5.51699532411091e-07	5.73227714524591e-07	5.65823778575218e-07	1.0000772859791
YNL036W	P53615	NCE103	24.85889	1	1.66764758585122	2	0	7.80995729733072e-09	1.65641742509325e-10	1.000001
YCR012W	P00560	PGK1	44.73787	2	1.17090542128066	2	8.87333176467123e-07	8.91752217267273e-07	8.87429714745779e-07	1.00020548541976
YGR192C	P00359	TDH3	35.74626	1	1.17090542128066	2	0	7.9118932439974e-09	0	1.000001
YJL052W	P00360	TDH1	35.74956	2	1.17090542128066	2	1.6413327794697e-05	1.64379660828909e-05	1.64234422781093e-05	1.0030267205272
YJR009C	P00358	TDH2	35.84645	1	1.17090542128066	2	0	1.27176199002206e-08	0	1.000001
YDR050C	P00942	TPI1	26.79508	2	1.06805095477737	2	2.48768760456311e-08	3.21240664701416e-08	2.48824451074816e-08	1.00000443398907
YGR240C	P16861	PFK1	107.96906	1	1.06130883621665	2	0	7.93949498106103e-09	0	1.000001
YKL060C	P14540	FBA1	39.62024	1	1.06130883621665	2	0	8.23643063110602e-09	0	1.000001
YMR205C	P16862	PFK2	104.61673	2	1.06130883621665	2	5.9848775479242e-07	6.06020457619252e-07	6.04846491068071e-07	1.00032689162227
YAL044C	P39726	GCV3	18.79276	0	0	0	0	5.5152732076445e-12	0	1.00000100053386
YBR263W	P37292	SHM1	53.68589	0	0	0	0	3.59932478377884e-09	0	1.00000199528775
YCL040W	P17709	GLK1	55.37689	0	0	0	0	4.27655142798803e-09	0	1.00000221979301
YDR019C	P48015	GCV1	44.46849	0	0	0	0	5.5152732076445e-12	0	1.00000100126324
YDR148C	P19262	KGD2	50.43011	0	0	0	0	1.21329923498383e-09	0	1.0000013151558
YER070W	P21524	RNR1	99.56021	0	0	0	0	1.96751538491285e-09	0	1.00000200895409
YFR053C	P04806	HXK1	53.73784	0	0	0	0	4.4664053064719e-09	0	1.00000223623849
YGL253W	P04807	HXK2	53.9419	0	0	0	0	3.94662864446239e-09	0	1.00000209652861
YGR180C	P49723	RNR4	40.05407	0	0	0	0	4.97898983137099e-09	0	1.00000202716489
YIL066C	P21672	RNR3	97.51369	0	0	0	0	1.99974264241309e-09	0	1.00000200439099
YIL125W	P20967	KGD1	114.41496	0	0	0	0	1.21329923498383e-09	0	1.00000171497402
YJL026W	P09938	RNR2	46.14681	0	0	0	0	4.27865133250511e-09	0	1.00000201695258
YKL029C	P36013	MAE1	74.37529	0	0	0	0	1.60168183522463e-08	0	1.00000713580675
YKL085W	P17505	MDH1	35.64959	0	0	0	0	2.38076136275774e-07	0	1.00004471570755
YLR438W	P07991	CAR2	46.08557	0	0	0	0	3.66256698288551e-11	0	1.0000010086839
YMR189W	P49095	GCV2	114.45033	0	0	0	0	5.5152732076445e-12	0	1.00000100325126
YMR241W		YHM2	NaN	0	0	0	0	0	0	1.000001
YMR246W	P47912	FAA4	77.26612	0	0	0	0	2.64391058467038e-09	0	1.00000205217627
YOR317W	P30624	FAA1	77.86529	0	0	0	0	2.62256939883657e-09	0	1.00000205177665
YOR388C	Q08911	FDH1	41.7138	0	0	0	0	1.82002396371858e-09	0	1.00000139103276
YLR446W	Q06204	YLR446W	48.96875	0	0	0	0	3.94437498556849e-09	0	1.0000019948202
