genes	enzymes	shortNames	MWs	actions	k_scores	OE	minUsage	maxUsage	pUsage	foldChange	unique	conectivity	groups	priority
YMR220W	P24521	ERG8	50.45437	2	9.27079032129127	2	1.31630057850736e-05	1.31631038411767e-05	1.31630057850736e-05	1.00343317181456	1	4	0	1
YNR043W	P32377	MVD1	44.11544	2	9.27079032129127	2	9.13349777781902e-06	9.13356724928964e-06	9.13349777781902e-06	1.00208056531357	1	6	0	1
YPL117C	P15496	IDI1	33.35113	1	9.27079032129127	2	4.98932897361006e-10	3.37986052713428e-09	4.98932897361006e-10	1.000001	1	2	0	1
YHR137W	P38840	ARO9	58.52706	2	6.14346517053967	2	8.51118557960579e-08	8.74510768827339e-08	8.58477951123872e-08	1.0000268684037	1	13	0	1
YHR163W	P38858	SOL3	27.78417	2	5.4699784033524	2	1.38416658997672e-05	1.40307079682819e-05	1.39857349514209e-05	1.00202953086816	0	5	6	1
YHR183W	P38720	GND1	53.54274	2	5.4699784033524	2	3.58720739994712e-06	3.85457121591821e-06	3.84222547104826e-06	1.00107195603203	0	6	7	1
YNL241C	P11412	ZWF1	57.5209	2	5.4699784033524	2	2.2004532341193e-07	2.21719191811155e-07	2.21013682469049e-07	1.00006649490043	1	5	0	1
YBR221C	P32473	PDB1	40.0532	2	3.57854375710931	2	3.5068065875731e-06	3.52207965196347e-06	3.51970628059138e-06	1.00072746311831	0	6	8	1
YCR053W	P16120	THR4	57.47349	2	2.95756078717109	2	4.78812765144016e-09	5.04932425049087e-09	4.82831974664777e-09	1.00000243268235	1	6	0	1
YHR025W	P17423	THR1	38.71215	2	2.95756078717109	2	4.78702635880074e-07	5.04877463270989e-07	4.82831974664777e-07	1.0001120258161	1	5	0	1
YDR158W	P13663	HOM2	39.54334	2	2.9575545845458	2	1.0291496269912e-07	1.08523971466449e-07	1.037887369403e-07	1.00002218935059	1	6	0	1
YJR139C	P31116	HOM6	38.50163	2	2.9575545845458	2	8.64974275734604e-07	9.12368858929652e-07	8.72435286531989e-07	1.00020418194825	1	7	0	1
YER052C	P10869	HOM3	58.10913	2	2.9575545845458	2	8.60519575390811e-08	9.07419090421226e-08	8.67825605697606e-08	1.00002762058495	1	4	0	1
YOR095C	Q12189	RKI1	28.25777	2	2.87513311874773	2	5.04949688021352e-06	5.08665820501704e-06	5.07100440179666e-06	1.00074492405056	1	2	0	1
YLR044C	P06169	PDC1	61.49468	2	2.84049795173435	2	4.17732344291705e-07	4.20365804154714e-07	4.18957301574147e-07	1.00013356752743	0	17	9	1
YNR001C	P00890	CIT1	53.35945	2	2.8212790235958	2	5.44149470881406e-07	7.60745857971023e-07	7.59566594563016e-07	1.00020970585558	1	7	0	1
YGL062W	P11154	PYC1	130.09827	2	2.41452651673583	2	1.02678291696113e-06	2.46860845438791e-06	2.45357558610413e-06	1.00174377749784	0	8	10	1
YAL038W	P00549	CDC19	54.54404	2	2.37006006899528	2	1.86466019251401e-06	2.01473478267132e-06	2.01385448234702e-06	1.00056673796129	0	6	11	1
YGR254W	P00924	ENO1	46.81564	2	2.20621742069886	2	1.85327443512159e-06	2.05126258314972e-06	2.04924194387742e-06	1.00049511362987	0	5	12	1
YOR283W	Q12040	YOR283W	26.17622	2	2.20621741432231	2	5.58777566447018e-07	5.69521557229829e-07	5.65822419766673e-07	1.00007728592722	1	4	0	1
YCR012W	P00560	PGK1	44.73787	2	1.17090542128066	2	8.87153325417595e-07	8.89581318848716e-07	8.87427605774845e-07	1.00020548518685	1	4	0	1
YJL052W	P00360	TDH1	35.74956	2	1.17090542128066	2	1.64182250450854e-05	1.64305421598842e-05	1.64234032479057e-05	1.00302671710385	0	8	13	1
YDR050C	P00942	TPI1	26.79508	2	1.06805095477737	2	2.48783370861221e-08	2.85041606298526e-08	2.48823465092817e-08	1.00000443398482	1	2	0	1
YMR205C	P16862	PFK2	104.61673	2	1.06130883621665	2	6.01685723544965e-07	6.0541098472504e-07	6.04844098631194e-07	1.00032689123087	1	9	0	1
YBR263W	P37292	SHM1	53.68589	0	0	0	0	1.79116211900829e-09	0	1.00000149529338	1	5	0	1
YCL040W	P17709	GLK1	55.37689	0	0	0	0	2.12451235058264e-09	0	1.00000160598588	1	6	0	1
YKL029C	P36013	MAE1	74.37529	0	0	0	0	7.98438737941375e-09	0	1.00000405868016	1	7	0	1
YKL085W	P17505	MDH1	35.64959	0	0	0	0	1.1903670697115e-07	0	1.00002285762191	1	5	0	1
YLR438W	P07991	CAR2	46.08557	0	0	0	0	1.8103174104758e-11	0	1.00000100429722	1	4	0	1
YMR246W	P47912	FAA4	77.26612	0	0	0	0	1.32143259428869e-09	0	1.00000152590815	1	48	0	1
YOR317W	P30624	FAA1	77.86529	0	0	0	0	1.29837746649174e-09	0	1.00000152072969	1	52	0	1
YOR388C	Q08911	FDH1	41.7138	0	0	0	0	9.04037900036423e-10	0	1.00000119423785	1	4	0	1
YLR446W	Q06204	YLR446W	48.96875	0	0	0	0	1.95949317924597e-09	0	1.00000149424136	1	20	0	1
YAL044C	P39726	GCV3	18.79276	0	0	0	0	1.69082830296275e-11	0	1.00000100163666	0	18	14	2
YDR019C	P48015	GCV1	44.46849	0	0	0	0	1.69082830296275e-11	0	1.00000100387275	0	18	14	2
YDR148C	P19262	KGD2	50.43011	0	0	0	0	6.00071288347606e-10	0	1.00000115587924	0	11	15	2
YER070W	P21524	RNR1	99.56021	0	0	0	0	9.72669444363521e-10	0	1.000001498801	0	24	16	2
YFR053C	P04806	HXK1	53.73784	0	0	0	0	2.20462337250523e-09	0	1.00000161022395	0	12	17	2
YGL253W	P04807	HXK2	53.9419	0	0	0	0	1.97166980451564e-09	0	1.00000154780739	0	12	17	2
YGR180C	P49723	RNR4	40.05407	0	0	0	0	2.4576798954503e-09	0	1.00000150704682	0	24	16	2
YIL066C	P21672	RNR3	97.51369	0	0	0	0	9.93307328116056e-10	0	1.00000149891374	0	24	16	2
YIL125W	P20967	KGD1	114.41496	0	0	0	0	6.00071288347606e-10	0	1.00000135364335	0	11	15	2
YJL026W	P09938	RNR2	46.14681	0	0	0	0	2.1255555425258e-09	0	1.00000150522124	0	24	16	2
YMR189W	P49095	GCV2	114.45033	0	0	0	0	1.69082830296275e-11	0	1.00000100997752	0	18	14	2
